REEF_ID,REEF_SUB_ID,REEF_NAME,REEF_AREA,LAT_DEG,LAT_MIN,LONG_DEG,LONG_MIN,GAZ_NAME,REEF_CLASS,FULLREEF_ID,G_SECTION,A_SECTOR,SHELF,LONG_DD,LAT_DD,AIMS_REEF_NAME,
12106,S,TANNADICE SHOAL,30,12,40,143,31.5,TANNADICE SHOAL,,12106S,FN,CG,,143.525,-12.666667,TANNADICE SHOAL,
12107,S,LOG REEF (SOUTH),1060,12,40.5,143,50.5,LOG (2),RIBBON,12107S,FN,CG,O,143.841667,-12.675,Log Reef South,1
12108,S,12108S,40,12,41,143,48,12-108,,12108S,FN,CG,,143.8,-12.683333,12108S,
12109,S,12109S,20,12,41,143,48.5,12-109,,12109S,FN,CG,,143.808333,-12.683333,12109S,
12110,S,12110S,190,12,41.5,143,48.5,12-110,,12110S,FN,CG,,143.808333,-12.691667,12110S,
12111,S,FIRST SMALL REEF,250,12,42.5,143,48,FIRST SMALL,,12111S,FN,CG,,143.8,-12.708333,FIRST SMALL REEF,
12112,S,APE REEF,1090,12,43,143,36,APE,,12112S,FN,CG,,143.6,-12.716667,APE REEF,
12113,S,12113S,250,12,44,143,47,12-113,,12113S,FN,PC,,143.783333,-12.733333,12113S,
12114,S,12114S,940,12,45,143,48,12-114,,12114S,FN,PC,,143.8,-12.75,12114S,
12115,S,ZENITH REEF,250,12,46.5,143,36.5,ZENITH,,12115S,FN,CG,,143.608333,-12.775,ZENITH REEF,
12116,S,12116S,210,12,47,143,47.5,12-116,LAGOONAL,12116S,FN,PC,O,143.791667,-12.783333,12116S,
12117,S,HALLORAN REEF,1,12,47.5,143,36,HALLORAN ROCK,,12117S,FN,CG,,143.6,-12.791667,HALLORAN REEF,
12118,S,BLIGH REEF,1500,12,49.5,143,50,BLIGH,,12118S,FN,PC,,143.833333,-12.825,BLIGH REEF,
12119,S,WYE REEF,60,12,48.5,143,36.5,WYE,,12119S,FN,CG,,143.608333,-12.808333,WYE REEF,
12120,S,LANSDOWN REEF,50,12,49,143,32.5,LANSDOWN,,12120S,FN,CG,,143.541667,-12.816667,LANSDOWN REEF,
12121,S,12121S,5500,12,50,143,45,12-121,,12121S,FN,PC,,143.75,-12.833333,12121S,
12122,S,SUNK REEF,380,12,51,143,38.5,SUNK,,12122S,FN,PC,,143.641667,-12.85,SUNK REEF,
12123,S,12123S,40,12,51.5,143,47.5,12-123,,12123S,FN,PC,,143.791667,-12.858333,12123S,
12124,S,12124S,10,12,53,143,35.5,12-124,,12124S,FN,PC,,143.591667,-12.883333,12124S,
12125,S,ROCKY ISLAND REEF(12125),120,12,53.5,143,33,ROCKY ISLAND (12125),,12125S,FN,PC,,143.55,-12.891667,ROCKY ISLAND REEF(12125),
12126,S,FREDERICK PATCHES,380,12,53,143,37.5,FREDERICK PATCHES,,12126S,FN,PC,,143.625,-12.883333,FREDERICK PATCHES,
12127,S,12127S,840,12,53,143,48.5,12-127,,12127S,FN,PC,,143.808333,-12.883333,12127S,
12128,S,ASHTON REEF,1,12,54,143,34,ASHTON ROCK,,12128S,FN,PC,,143.566667,-12.9,ASHTON REEF,
12129,S,CHAPMAN REEF,190,12,53.5,143,36,CHAPMAN ISLAND,,12129S,FN,PC,,143.6,-12.891667,CHAPMAN REEF,
12130,S,12130S,3690,12,54.5,143,45,12-130,,12130S,FN,PC,,143.75,-12.908333,12130S,
12131,S,12131S,1310,12,55,143,31,12-131,,12131S,FN,PC,,143.516667,-12.916667,12131S,
12132,S,ALLEN REEF,190,12,56,143,32.5,ALLEN,,12132S,FN,PC,,143.541667,-12.933333,ALLEN REEF,
12133,S,12133S,20,12,56,143,39,12-133,,12133S,FN,PC,,143.65,-12.933333,12133S,
12134,S,12134S,690,12,55.5,143,49,12-134,,12134S,FN,PC,,143.816667,-12.925,12134S,
12135,S,12135S,20,12,56,143,48.5,12-135,,12135S,FN,PC,,143.808333,-12.933333,12135S,
12136,S,HAMMOND REEF,20,12,56.5,143,33,HAMMOND,,12136S,FN,PC,,143.55,-12.941667,HAMMOND REEF,
12137,S,12137S,439,12,57.5,143,49.5,12-137,LAGOONAL,12137S,FN,PC,O,143.825,-12.958333,12137S,
12138,S,12138S,20,12,58,143,33,12-138,,12138S,FN,PC,,143.55,-12.966667,12138S,
12139,S,12139S,10,12,57.5,143,41,12-139,,12139S,FN,PC,,143.683333,-12.958333,12139S,
12140,S,12140S,1,12,58,143,39,12-140,,12140S,FN,PC,,143.65,-12.966667,12140S,
12141,S,12141S,0,12,58.5,143,49,12-141,,12141S,FN,PC,,143.816667,-12.975,12141S,
12142,S,12142S,120,13,0,143,43.5,12-142,,12142S,FN,PC,,143.725,-13,12142S,
